Doc Fiscal;Quilometragem;Litros;Combustivel;Manutenção;Custos Motorista
775195;1986;522,6;2908,07;;186,64
775196;1126;351,8;1573,51;;176,14
775197;948;338,5;1689,67;;97,73
775198;1538;569,6;4179,34;;194,89
775199;1286;459,2;2435,6;;103,38
775200;1276;277,3;1854,65;;204,38
775201;1346;354,2;1630,15;;187,57
775202;1184;438,5;2312,5;;194,23
775203;948;296,2;2127,73;;146,81
775204;948;412,1;1248,88;;190,17
775205;1184;422,8;1947,36;;144,58
775206;1508;350,6;3490,74;795,21;174,4
775207;1346;299,1;4005,95;;139,77
775208;1092;237,3;1796,05;;152,65
775209;1538;404,7;1949,32;;95,8
775210;1236;363,5;2815,33;;131,17
775211;1866;583,1;3069,07;;155,62
775212;1270;325,6;1725,54;;95,26
775213;1364;487,1;1982,55;;195,65
775214;1254;447,8;1741,66;;148,46
775215;1350;586,9;1599,45;;157,17
775216;1346;498,5;2157,55;;131,92
775217;1012;481,9;1916,47;;189,49
775218;1410;613;3211,66;;120,36
775219;1346;407,8;2002,97;;128,4
775220;1338;418,1;1762,66;;175,24
775221;1684;495,2;3095,58;;200,32
775222;1346;480,7;2178,39;;132,57
775223;1730;455,2;2514,53;;99,63
775224;948;220,4;1267,43;695,79;131,44
775225;1730;384,4;2773,08;;94,08
775226;1866;478,4;3430,14;;174,23
775227;1538;334,3;2288,69;;115,7
775228;938;347,4;2434,33;;132,5
775229;1184;281,9;2740,74;;119,7
775230;1410;381;2753,9;;173,74
775231;1538;480,6;2026,14;;124,92
775232;1184;348,2;1433,95;;142,22
775233;1980;440;3173,07;;189,15
775234;1302;482,2;1808,33;;116,53
775235;960;208,6;1405,71;;176,14
775236;1346;363,7;2157,05;;160,98
775237;1246;593,3;1848,71;;131,88
775238;1538;549,2;2464,74;;145,38
775239;938;246,8;1832,03;;146,32
775240;1894;591,8;3699,21;;101,53
775241;1488;381,5;2652,14;;125,79
775242;1254;278,6;2902,77;;145,21
775243;1420;443,7;1929,34;;90,68
775244;1246;270,8;1677,94;;182,33
775245;1184;514,7;1618,13;;93,19
775246;1538;357,6;2071,17;;197,59
775247;1164;342,3;1914,47;;188,06
775248;1486;330,2;2001,14;;138,73
775249;1302;406,8;1808,33;;134,66
775250;1410;522,2;2670,18;;192,38
775251;1508;359;3366,07;;132,91
775252;1828;468,7;3006,57;;174,06
775253;1514;336,4;2102,77;;110,14
775254;1894;901,9;5546,71;;194,56
775255;1368;506,6;3420;;148,17
775256;1828;677;3360,29;;190,15
775257;1538;366,1;2912,87;;143,28
775258;1086;319,4;2513,88;329,33;137,12
775259;1368;594,7;3717,39;;138,22
775260;1902;576,3;2641,66;;104,82
775261;1346;407,8;2474,26;;152,31
775262;1894;901,9;4384,25;;182,35
775263;1380;353,8;3690;;139,65
775264;1272;374,1;2038,46;;169,23
775265;1368;304;1900;;193,74
775266;1000;232,5;2928,57;;110,16
775267;1894;823,4;4227,67;;174,51
775268;1576;583,7;2221,06;;116,83
775269;948;225,7;1714,76;;181,54
775270;1936;605;2768,93;;180,89
775271;1434;311,7;2715,63;;161,1
775272;1508;386,6;2244,04;;167,27
775273;1674;372;3736,6;;123,98
775274;1818;432,8;2914,14;1583,05;157,68
775275;1324;490,3;2177,63;;124,68
775276;1774;554,3;4820,65;1583,05;165,57
775277;202;46,9;467,59;;191,37
775278;1988;584,7;3269,73;;175,1
775279;1648;358,2;3619,71;;116,82
775280;1486;530,7;2902,34;;129,68
775281;948;210,6;1795,45;;116
775282;1276;277,3;2098,68;;112,81
775283;1192;425,7;1629,06;;135,27
775284;1458;455,6;2637,26;;190,3
775285;1488;354,2;4043,47;;172,7
775286;1106;245,7;1511,53;;95,39
775287;1184;275,3;1618,13;;164,25
775288;1346;292,6;2628,9;;134,67
775289;1346;498,5;2259,86;;142,11
775290;1012;306,6;1470,93;;177,83
775291;1514;388,2;2102,77;1159,98;117,9
775292;1364;401,1;3783,61;;180,2
775293;1368;427,5;2192,3;;156,72
775294;202;72,1;332,23;;172,74
775295;908;216,1;1213,95;;116,12
775296;1184;563,8;1720,93;;144,8
775297;948;338,5;2194,44;;106,68
775298;1902;422,6;3714,84;;128,05
775299;1368;547,2;2671,87;;189,17
775300;1458;316,9;3272,4;;139,43
775301;1184;370;2110,3;;112,67
775302;1936;569,4;3555,2;;175,7
775303;1338;637,1;2200,65;;193,95
775304;1488;330,6;2447,36;;194,62
775305;1314;336,9;2105,76;;157,82
775306;948;338,5;2370;;99,97
775307;1318;399,3;3295;;129,4
775308;1538;357,6;2425,3;;108,3
775309;1004;295,2;2988,09;;181,03
775310;1508;327,8;2416,66;;107,63
775311;1810;430,9;2611,57;;140,74
775312;1686;526,8;2270,48;;194,48
775313;1392;497,1;2071,42;;137,09
775314;1040;266,6;1666,66;;118,86
775315;1410;522,2;2098,21;;151,73
775316;1046;373,5;1452,77;;184,8
775317;960;246,1;1875;;102,62
775318;948;220,4;1201,53;;207,03
775319;1054;310;1432,06;;154,29
775320;1852;685,9;2572,22;;132,43
775321;1350;293,4;3953,57;;180,77
775322;1004;313,7;1494,04;;160,39
775323;1636;389,5;3098,48;;167,43
775324;1674;597,8;3269,53;;155,4
775325;948;278,8;1336,01;;156,59
775326;1894;411,7;2573,36;;173,93
775327;924;330;1999,8;;131,84
775328;1382;431,8;2699,21;;163,06
775329;948;351,1;1267,43;;177,03
775330;1814;863,8;2617,34;;148,14
775331;1756;763,4;3374,81;;98,84
775332;1184;358,7;1500,65;;164,11
775333;948;278,8;1377,9;;171,67
775334;1926;601,8;3167,76;;122,84
775335;948;220,4;1851,56;;189,8
775336;1514;336,4;2821,54;;188,99
775337;1356;347,6;1883,33;;186,81
775338;1368;488,5;3420;;173,77
775339;1392;515,5;2675,25;;121,24
775340;948;338,5;1552,67;;200,65
775341;948;296,2;1410,71;;154,18
775342;1528;611,2;2220,93;501,11;165,31
775343;1576;375,2;3078,12;;113,87
775344;948;296,2;2576,08;;163,68
775345;960;213,3;1513,84;;144,34
775346;1410;361,5;3147,32;;116,34
775347;1350;586,9;1834,23;;148,9
775348;940;348,1;1284,66;;124,72
775349;960;355,5;2222,22;;152,58
775350;1184;257,3;1761,9;;108,44
775351;1966;578,2;3151,38;;128,8
775352;934;291,8;2162,03;;188,74
775353;1246;289,7;2884,25;;196,71
775354;1538;615,2;2252,07;;166,93
775355;948;225,7;1795,27;;112,82
775356;938;208,4;2044,84;;184,91
775357;1368;402,3;2438,25;;142,07
775358;1528;355,3;2893,65;411,75;186,36
775359;1404;610,4;3815,21;411,75;159,34
775360;1774;633,5;2578,48;411,75;170,05
775361;1538;480,6;2288,69;;177,48
775362;1350;355,2;2003,02;;120,3
775363;1368;506,6;2250;;159,1
775364;960;208,6;1845;;136,48
775365;960;342,8;1762,9;;98,2
775366;1818;466,1;3442,83;;161,87
775367;1514;352;2867,42;;191,32
775368;948;206;1714,76;;129,02
775369;1730;752,1;3276,51;;113,46
775370;1902;422,6;3714,84;;162,43
775371;1902;559,4;2764,53;;167,17
775372;1204;430;1458,17;;188,76
775373;1730;640,7;2758,89;;176,52
775374;818;181,7;1345,39;;109,62
775375;1562;624,8;2270,34;;183,72
775376;1802;563,1;2619,18;;190,6
775377;1410;335,7;2513,11;;131,26
775378;1346;299,1;2091,47;;154,58
775379;1368;402,3;2671,87;;160,67
775380;948;249,4;1377,9;;191,24
775381;948;206;1410,71;;116,12
775382;1302;406,8;1769,02;;139,21
775383;948;225,7;2497,77;;140,81
775384;970;388;1595,39;;168,59
775385;948;351,1;2735,65;;119,86
775386;938;407,8;2548,91;;154,23
775387;948;220,4;1890,07;;158,86
775388;1276;607,6;2906,44;;163,38
775389;1538;341,7;2425,3;;118,53
775390;1410;440,6;2670,18;;163,73
775391;1906;423,5;4765;;120,89
775392;1410;414,7;2098,21;;168,01
775393;1508;327,8;2244,04;;180,35
775394;1202;429,2;2276,51;1290,98;98,67
775395;948;379,2;2051,74;;132,58
775396;1538;569,6;2235,46;;116,42
775397;1368;414,5;2671,87;;173,8
775398;1518;660;3513,88;;158,25
775399;1636;605,9;2690,78;;152,26
775400;1866;444,2;3069,07;;125,82
775401;1380;492,8;3394,8;;171,15
775402;1736;456,8;2855,26;;140,49
775403;948;278,8;1559,21;;112,25
775404;960;213,3;2400;;110,77
775405;1728;384;2276,45;;105,99
775406;1184;438,5;2141,64;;104,49
775407;1562;488,1;3557,88;;116,51
775408;1902;679,2;3702,1;;132,76
775409;1520;361,9;4004,86;;159,15
775410;938;335;1542,76;534,02;163,9
775411;1338;290,8;2986,6;534,02;139,84
775412;1316;487,4;2419,11;;112,81
775413;948;249,4;1742,64;;175,57
775414;1192;518,2;2715,11;;164,12
775415;1426;419,4;2621,32;;132,76
775416;960;457,1;1711,05;;149,72
775417;948;296,2;1519,23;;108,58
775418;1524;354,4;3401,78;;169,77
775419;1966;436,8;3723,48;;119,2
775420;1032;229,3;1897,05;;104,57
775421;1228;266,9;1798,14;;192,1
775422;948;338,5;1276,64;;109,22
775423;1538;466;2136,11;;185,51
775424;1730;411,9;3180,14;;186,33
775425;1346;354,2;2471,74;;144,65
775426;960;384;1312;;156,14
775427;960;355,5;1333,33;;189,1
775428;1410;313,3;2281,97;;185,41
775429;1902;559,4;2641,66;;190,26
775430;948;206;1316,66;;161,24
775431;1528;545,7;3410,71;;115,53
775432;1766;551,8;2627,97;;186,66
775433;948;379,2;1689,67;;148,68
775434;1918;710,3;5128,56;;140,5
775435;1246;327,8;2394,65;;128,5
775436;1182;422,1;2138,02;;186,03
775437;1054;234,2;2864,13;;145,89
775438;1508;396,8;2416,66;;184,33
775439;1086;339,3;1786,18;;179,03
775440;2072;450,4;3982,12;;159,21
775441;1184;263,1;1867,07;;184,8
775442;1514;445,2;4199,7;1678,51;178,42
775443;1184;358,7;1897,43;;146,92
775444;1410;327,9;2670,45;;127,91
775445;1684;801,9;3001,48;;137,96
775446;948;296,2;1851,56;;106,38
775447;1426;316,8;2045,18;;136,69
775448;1184;514,7;1644,44;;98,64
775449;938;347,4;1302,77;;118,09
775450;1346;395,8;1896,92;;154,94
775451;1170;365,6;3082,69;;160,13
775452;1012;220;1405,55;;136,11
775453;1538;480,6;3845;;139,77
775454;1766;630,7;3246,32;;174,28
775455;1902;452,8;3128,28;;168,61
775456;940;208,8;1727,94;;142,83
775457;1346;480,7;2178,39;;101,53
775458;948;220,4;2116,07;;168,27
775459;948;296,2;1288,04;;97,78
775460;948;412,1;1377,9;;166,28
775461;1730;384,4;3378,9;;133,48
775462;1184;348,2;2242,42;;124,63
775463;1538;341,7;3560,18;;160,03
775464;1894;450,9;3640,03;;175,36
775465;1454;538,5;3576,84;;173,43
775466;1528;477,5;2602,37;;178,18
775467;1184;438,5;2312,5;;143,11
775468;1254;278,6;2714,01;;111,77
775469;1410;503,5;3211,66;;168,13
775470;960;223,2;2327,04;;190,8
775471;1918;426,2;4795;;157,55
775472;948;249,4;1248,88;;115,67
775473;948;296,2;2194,44;;194,41
775474;1978;599,3;3368,78;;151,02
775475;1970;703,5;4925;;171,56
775476;1802;783,4;2887,82;;175,93
775477;1850;880,9;2964,74;843,27;129,99
775478;1426;528,1;3300,92;;90,32
775479;1894;557;4227,67;;191,08
775480;1538;341,7;2101,93;;200,15
775481;1346;395,8;3004,46;;138,06
775482;1454;519,2;2113,37;;167,14
775483;1182;281,4;1894,23;;135,92
775484;1392;302,6;3012,68;;184,56
775485;1894;498,4;3481,61;;186,25
775486;1730;402,3;2329,73;;182,15
775487;960;300;1868,57;;153,07
775488;948;278,8;1276,64;;121,96
775489;1736;642,9;2411,11;;167,21
775490;1286;306,1;2870,53;;116,12
775491;1674;620;2683,32;;169,8
775492;1228;272,8;2221,23;;192,57
775493;1902;422,6;3128,28;587,82;101,4
775494;1184;257,3;2242,2;;176,97
775495;1098;322,9;3215,57;;113,42
775496;1004;218,2;1789,48;;113,57
775497;1538;668,6;2955,84;;109,5
775498;1204;267,5;1635,86;;110,92
775499;1126;288,7;1529,89;;122,14
775500;1404;438,7;2309,21;;158,8
775501;1246;461,4;2884,25;;177,89
775502;1092;260;2363,4;;106,79
775503;1528;449,4;3410,71;;117,2
775504;1926;428;4737,96;;141,64
775505;948;220,4;1766,72;;93,64
775506;1368;488,5;2671,87;;194,12
775507;1410;613;3263,88;;158,14
775508;1426;316,8;2072,67;;161,9
775509;948;206;1410,71;;124,89
775510;948;243;2116,07;778,33;200,22
775511;1538;569,6;2464,74;;177,1
775512;1648;515;2288,88;;200,7
775513;1754;461,5;2810,89;;188,23
775514;1054;245,1;1689,1;;208,39
775515;1552;554,2;2255,81;;102,31
775516;1270;508;2480,46;;145,93
775517;1126;250,2;3059,78;;178,55
775518;1368;402,3;3166,66;;180,7
775519;960;213,3;1736,47;;145,92
775520;1410;613;2190,92;;177,7
775521;1488;323,4;3220,45;;201,12
775522;1528;565,9;3410,71;;123,89
775523;1184;303,5;1559,79;;112,41
775524;960;300;1405,71;;166,41
775525;1098;261,4;1706,12;;108,4
775526;1086;285,7;1508,33;;128,24
775527;1456;316,5;2676,47;682,24;157,24
775528;1454;372,8;2113,37;;139,05
775529;1236;363,5;1796,51;;141,52
775530;1014;440,8;1863,97;;144,65
775531;1236;274,6;1971,09;;199,86
775532;1514;360,4;2200,58;;111,42
775533;1184;422,8;2242,42;;125,87
775534;1184;438,5;1947,36;;114,68
775535;948;249,4;2082,21;;117,84
775536;1346;420,6;3115,74;;122,68
775537;1936;774,4;3184,21;;187,81
775538;1350;482,1;2220,39;;175,28
775539;938;218,1;1363,37;;134,1
775540;948;210,6;1316,66;;146,03
775541;1276;455,7;2012,15;;197,24
775542;1368;414,5;2590,9;;136,51
775543;1368;402,3;1927,92;;133,14
775544;1012;224,8;1353;;189,77
775545;1346;498,5;2178,39;1539,54;120,85
775546;1184;303,5;3217,39;;118,77
775547;1700;369,5;2309,78;;140,39
775548;1684;443,1;2338,88;;164,93
775549;1538;732,3;3845;;128,29
775550;1184;281,9;1761,9;;157,09
775551;1380;431,2;2613,37;;104,93
775552;1004;218,2;2286,88;;181,93
775553;1538;394,3;1949,32;;131,04
775554;1404;412,9;2742,18;;181,72
775555;1508;335,1;2125,22;;111,33
775556;1840;800;3593,75;;132,5
775557;690;255,5;937,5;;150,42
775558;948;296,2;1355,86;;186,21
775559;1092;390;1696,8;;178,09
775560;1426;331,6;2345,39;;164,01
775561;1368;488,5;3420;;123,79
775562;1514;658,2;2216,92;328,45;123,47
775563;1842;541,7;2634,48;;155,74
775564;1184;263,1;2312,5;;104,72
775565;1346;292,6;1956,39;;128,67
775566;1346;354,2;2913,12;;180,52
775567;1528;339,5;2057,7;;175,11
775568;1562;624,8;4244,56;;115,27
775569;1508;538,5;2480,26;;128,45
775570;1014;375,5;1641,07;;128,41
775571;1184;263,1;2110,3;;127,55
775572;1852;402,6;2516,3;;129,81
775573;1086;258,5;1786,18;;188,4
775574;1368;594,7;2003,14;;166,89
775575;948;249,4;1248,88;;119,12
775576;1924;427,5;2629,46;;160,61
775577;1684;601,4;4142,64;;153,93
775578;1302;406,8;2141,44;1518,74;187,17
775579;1902;594,3;2830,35;;181,52
775580;1398;665,7;1910,6;;179,33
775581;948;338,5;1377,9;1518,74;192,95
775582;1486;464,3;2530,84;1518,74;145,78
775583;1774;466,8;2371,76;;190,49
775584;1942;431,5;2697,22;;171,85
775585;948;338,5;1316,66;;107,49
775586;948;220,4;1410,71;;182,7
775587;1894;485,6;3699,21;;111,7
775588;934;222,3;2021,44;;155,02
775589;1392;309,3;3170,66;;137,76
775590;948;351,1;1377,9;;195,19
775591;1346;395,8;3733,68;;143,88
775592;948;296,2;1511,81;;96,65
775593;1410;306,5;2049,41;;116,99
775594;1684;673,6;2288,04;;132,4
775595;2002;870,4;2931,5;1140,42;140,79
775596;956;354;1278,13;;205,78
775597;1404;412,9;2250;1140,42;187,29
775598;1674;597,8;3074,07;;113,33
775599;1410;613;1857,52;;99,12
775600;2036;452,4;3210,61;;157,86
775601;1236;268,6;2032,89;;149,27
775602;1538;615,2;2781,97;;98,62
775603;948;296,2;1614,56;;119,84
775604;1346;299,1;2157,05;;195,26
775605;1902;594,3;4245,53;;143,77
775606;960;213,3;1304,34;;117,87
775607;1302;566;1769,02;;153,47
775608;1164;298,4;1808,67;;177,52
775609;948;206;1795,45;;166,1
775610;1228;292,3;2398,43;;118,73
775611;1448;425,8;2828,12;;106,02
775612;1236;441,4;2815,33;1135,66;175,93
775613;1514;352;3989,06;;116,7
775614;1766;706,4;2326,51;;187,04
775615;960;342,8;1764,7;;186,92
775616;1434;623,4;1991,66;;131,91
775617;1338;495,5;2144,73;;116,15
775618;1582;343,9;2354,16;;148,27
775619;1852;487,3;3559,31;;176,49
775620;924;288,7;1480,76;;115,77
775621;948;451,4;2576,08;;129,78
775622;806;179,1;1526,36;;122,91
775623;1970;437,7;4421,55;;132,12
775624;948;206;2082,21;;189,72
775625;1766;630,7;2399,45;;175,01
775626;1184;311,5;1644,44;;121,82
775627;1276;375,2;2098,68;;99,73
775628;1346;585,2;2399,04;482,1;140,08
775629;1508;327,8;2945,31;;131,23
775630;948;351,1;1494,92;;100,12
775631;1540;481,2;3007,81;;115,16
775632;1684;374,2;3898,14;;153,39
775633;1936;509,4;4252,28;;134,87
775634;1636;511,2;4310,5;;152,97
775635;1236;268,6;1716,66;;167,09
775636;1184;281,9;1761,9;;191,14
775637;1894;557;3035,25;;165,27
775638;948;243;1377,9;;185,15
775639;1014;362,1;1408,33;;180,23
775640;1392;323,7;3424,32;;166,81
775641;1346;640,9;1869,44;;197,25
775642;1538;615,2;4052,29;;115,48
775643;1756;763,4;2385,86;;162,15
775644;202;44,8;266,11;;105,15
775645;1818;673,3;2942,28;488,52;163,65
775646;1700;395,3;2361,11;;181,66
775647;1410;361,5;2259,61;;181,27
775648;1054;234,2;1878,6;;161,92
775649;1004;264,2;1394,44;;164,36
775650;1538;341,7;3003,9;;145,3
775651;938;293,1;1363,37;;121,52
775652;1760;651,8;3235,29;;198,79
775653;1514;605,6;2200,58;;108,62
775654;1272;454,2;2028,5;;175,19
775655;1866;444,2;3069,07;;102,58
775656;948;278,8;1851,56;;164,47
775657;1410;671,4;2753,9;;139,71
775658;1014;316,8;2926,11;;190,06
775659;1872;668,5;4178,57;;114,21
775660;1706;741,7;4635,86;;139,3
775661;1342;497;1950,58;;167,89
775662;960;208,6;1875;;183,63
775663;940;276,4;1521,31;;161,9
775664;1364;426,2;2175,22;401,45;159,2
775665;1314;285,6;2161,18;;124,14
775666;1192;264,8;1852,18;;138,13
775667;1428;432,7;2348,68;401,45;157,76
775668;1894;757,6;2685,27;;124,7
775669;1404;610,4;2040,69;;163,53
775670;1802;667,4;3519,53;;114,63
775671;1174;308,9;1630,55;;177,92
775672;1538;569,6;3560,18;;107,64
775673;1894;676,4;2495,13;;169,02
775674;750;227,2;1182,69;;135,21
775675;948;278,8;1851,56;;137,64
775676;1854;662,1;3049,34;;105,32
775677;948;210,6;2127,73;;146,45
775678;1894;485,6;3699,21;;107,97
775679;1676;389,7;3273,43;;92,15
775680;1486;464,3;2444,07;;111,86
775681;1538;732,3;2827,2;1071,28;119,56
775682;1454;323,1;3576,84;;100,51
775683;948;225,7;1324,76;;183,84
775684;1486;550,3;2063,88;;119
775685;1184;257,3;2657,42;;106,33
775686;1986;794,4;2698,36;;172,43
775687;948;210,6;1336,01;;132,76
775688;1368;427,5;3166,66;;203,94
775689;908;197,3;1319,76;;169
775690;1092;321,1;2967,39;;150,43
775691;1364;349,7;1894,44;;152,03
775692;1514;560,7;2867,13;;198,63
775693;1902;760,8;3128,28;;181,86
775694;1054;245,1;2315,03;;169,48
775695;1538;334,3;2529,6;;184,25
775696;1802;563,1;3900,04;;161,68
775697;1538;341,7;2464,74;;146,06
775698;1712;438,9;2770,73;;99,82
775699;1410;313,3;3831,52;;137,07
775700;1316;313,3;3576,08;;186,03
775701;1246;593,3;2290,44;;146,88
775702;1184;473,6;2312,5;;199,15
775703;1856;806,9;3612,57;;128,31
775704;948;278,8;2776,28;;186,28
775705;1136;264,1;1868,42;;131,66
775706;1894;420,8;3699,21;;122,39
775707;1368;506,6;2250;;135,32
775708;1528;477,5;2042,86;;108,65
775709;1254;278,6;2029,5;;97,63
775710;1184;348,2;1897,43;;181,24
775711;1338;477,8;2895,81;;171,73
775712;1866;478,4;4989,52;;160,45
775713;1434;531,1;2358,55;520,67;131,58
775714;1170;254,3;1875;520,67;122,42
775715;1368;651,4;3116;;169,29
775716;216;51,4;482,14;;125,44
775717;1730;384,4;3180,14;;138,19
775718;1582;585,9;2229,51;;187,99
775719;1486;594,4;2855,9;;157,87
775720;1880;408,6;2732,55;;189,35
775721;1184;275,3;2312,5;;171,79
775722;1184;348,2;2642,85;;163,53
775723;1004;257,4;1470,14;;184,6
775724;1302;566;3013,88;;200,65
775725;1170;278,5;2611,6;;164,69
775726;1756;390,2;2888,15;;157,94
775727;1184;422,8;2176,47;;125,86
775728;1346;420,6;2002,97;;177,48
775729;1562;743,8;2026,88;;132,72
775730;948;278,8;1519,23;;113,77
775731;1906;423,5;2589,67;;176,52
775732;1246;389,3;3115;;112,62
775733;1816;648,5;2986,84;;138,23
775734;1562;557,8;2958,33;;131,91
775735;1254;298,5;3039,69;;130,15
775736;1106;409,6;2765;;151,41
775737;1368;304;1869,6;;157,12
775738;1966;457,2;2730,55;;167,55
775739;1380;306,6;3750;;96,73
775740;1350;346,1;1962,2;;110,27
775741;1380;492,8;2269,73;;154,28
775742;948;206;1851,56;;144,9
775743;1404;334,2;2580,88;;191,63
775744;1730;540,6;2402,77;;153,06
775745;1528;449,4;2204,68;;131,28
775746;962;458;1307,06;;174,74
775747;1866;811,3;3644,53;;131,31
775748;1276;510,4;2308,05;;123,28
775749;1902;442,3;2542,89;;131,76
775750;1346;420,6;3657,6;;133,17
775751;948;210,6;2051,74;;118,19
775752;1528;391,7;2513,15;;176,47
775753;1956;575,2;2716,66;;194,75
775754;1508;335,1;3366,07;;131,51
775755;1840;557,5;2738,09;;111,81
775756;948;225,7;2159,33;;152,1
775757;1538;549,2;2827,2;;124,34
775758;1346;640,9;1930,44;;97,3
775759;1246;498,4;1692,93;;138,35
775760;1184;370;1644,44;;184,17
775761;1398;310,6;1841,71;;93,76
775762;1368;297,3;1988,37;;189,3
775763;1812;566,2;2569,01;;122,61
775764;948;278,8;1851,56;727,42;147,34
775765;1126;268;2513,39;;162,37
775766;1410;671,4;3831,52;;155,88
775767;1612;597;3618,04;;195,32
775768;948;379,2;1377,9;;97,32
775769;1184;422,8;1594,45;;131,24
775770;1514;352;3276,72;;194,34
775771;938;240,5;2093,75;;170,09
775772;1538;341,7;2089,67;;169,88
775773;1342;406,6;2579,15;;182,4
775774;948;278,8;2127,73;;173,74
775775;960;342,8;1376,84;;126,74
775776;1418;675,2;2332,23;;189,9
775777;948;210,6;1316,66;;173,47
775778;948;206;2194,44;;167,34
775779;1714;408;2342,46;;139,28
775780;1314;486,6;2993;;184,73
775781;1346;480,7;3115,74;;185,48
775782;1356;423,7;2107,01;;133,25
775783;1538;480,6;2089,67;;165,5
775784;1054;310;1463,88;;117,24
775785;948;206;2576,08;;118,3
775786;940;208,8;2350;;159,78
775787;1370;507,4;3722,82;;147,98
775788;1410;313,3;1958,33;;189,29
775789;1346;345,1;3115,74;;129,07
775790;1184;563,8;1608,69;;169,03
775791;1962;456,2;3832,03;;101,55
775792;1184;473,6;1608,69;;180,25
775793;1410;440,6;2098,21;;190,52
775794;1350;409;1947,85;;105,84
775795;1538;394,3;3433,03;;189,25
775796;1346;538,4;1925,09;;135,38
775797;1918;446;3746,09;;165,07
775798;1346;395,8;1812,61;616,04;147,4
775799;1918;426,2;3525,73;;113,68
775800;948;296,2;1316,66;;197
775801;1184;257,3;1693,39;;100,56
775802;1392;331,4;2636,36;;174,17
775803;1850;578,1;2752,97;;182,42
775804;1380;306,6;4107,14;;186,21
775805;1538;549,2;2136,11;;145,77
775806;948;351,1;1276,64;;144,66
775807;1404;312;2357,24;;136,15
775808;948;451,4;1410,71;;162,59
775809;1392;356,9;2718,75;;125,63
775810;1552;456,4;2155,55;;149,84
775811;1538;334,3;2912,87;;156,59
775812;1416;329,3;2328,94;;183,94
775813;1508;335,1;2244,04;;97,41
775814;1184;358,7;1678,64;;156,74
775815;1004;401,6;1272,51;;122,15
775816;1236;457,7;1679,34;;114,11
775817;1302;465;2141,44;;173,03
775818;1184;281,9;1761,9;;121,72
775819;1894;420,8;2573,36;;132,86
775820;1768;392,8;3397,87;;188,22
775821;1612;503,7;4651,77;;156,3
775822;1894;557;3586,76;;136,33
775823;948;206;1742,64;;123,29
775824;1528;611,2;2984,37;;143,52
775825;962;418,2;1768,38;;184,24
775826;1736;413,3;3390,62;;187,02
775827;1184;422,8;1761,9;;165,32
775828;1092;242,6;2068,18;;110,89
775829;1338;343;3918,42;;150,95
775830;970;285,2;2635,86;;182,02
775831;1670;388,3;4108,2;;184,06
775832;1986;620,6;3650,73;;169,82
775833;1346;640,9;2399,04;;154,02
775834;1706;406,1;2369,44;;157,68
775835;1368;304;3717,39;;188,14
775836;948;296,2;2066,64;;166,13
775837;1594;637,6;2621,71;670,48;176,2
775838;1184;422,8;1618,13;;102,17
775839;1828;794,7;4080,35;;173,36
775840;1004;233,4;1845,58;;192,36
775841;1000;357,1;2717,39;;135,35
775842;1766;551,8;3344,36;;185,95
775843;948;451,4;1740,87;;162,84
775844;960;213,3;1428,57;;154,38
775845;1182;262,6;2271,65;;162,78
775846;1808;531,7;2690,47;;162,2
775847;1966;504,1;2878,78;;164,89
775848;1508;456,9;4097,82;;131,46
775849;1184;370;2206,54;;122,21
775850;1228;454,8;1784,88;;168,12
775851;948;351,1;1248,88;;103,78
775852;1410;313,3;2513,11;;115,65
775853;1092;341,2;1796,05;;131,25
775854;1612;374,8;2651,31;;97,94
775855;1368;402,3;3166,66;;99,31
775856;1338;297,3;1858,33;;165,69
775857;1866;583,1;2776,78;;106,29
775858;1828;468,7;2614,46;;182,61
775859;1040;385,1;1421,33;;164,28
775860;948;379,2;1519,23;;179,95
775861;1370;489,2;2006,07;;104,87
775862;1508;335,1;2048,91;;158,27
775863;1926;493,8;2593,68;;124,48
775864;1924;565,8;3757,81;;160,16
775865;1092;253,9;2007,35;;179,58
775866;1538;668,6;2781,97;;175,28
775867;1538;341,7;2071,17;;191,61
775868;1092;330,9;2132,81;;208,25
775869;1184;438,5;3217,39;;191,29
775870;962;213,7;1431,54;;113,9
775871;1182;422,1;2172,79;;151,26
775872;948;379,2;2051,74;;146,22
775873;1514;360,4;2783,08;;103,87
775874;1184;370;2176,47;;150,84
775875;1264;280,8;1717,39;;156,11
775876;1538;466;3451,95;;159,4
775877;1086;319,4;2385,32;;129,37
775878;1184;281,9;1897,43;;193,33
775879;1514;605,6;3785;;134,56
775880;1272;276,5;1848,83;;117,09
775881;1054;329,3;1432,06;;104,71
775882;1004;264,2;1394,44;;107,38
775883;1346;313;1828,8;;164,54
775884;1370;652,3;2441,82;;166,9
775885;1902;826,9;5168,47;1493,38;168,45
775886;1184;263,1;1867,07;;164,25
775887;1856;441,9;2654,51;;131,62
775888;1254;391,8;2071;;175,37
775889;1538;466;2518,99;;201,26
775890;1894;485,6;4099,15;;94,73
775891;1528;339,5;2012,97;;122,73
775892;1570;461,7;3169,07;;167,79
775893;1350;500;2556,56;;182,74
775894;1404;501,4;2309,21;;135,71
775895;1184;303,5;1947,36;;120,9
775896;1902;679,2;3128,28;;153,89
775897;1170;365,6;1893,55;;95,69
775898;1170;260;1625;;159,97
775899;1538;452,3;3328,67;;162,01
775900;1346;420,6;2002,97;;174,04
775901;1538;466;2136,11;1157,08;199,16
775902;1254;501,6;1977,46;1157,08;172,3
775903;1706;631,8;2461,51;;130,5
